2013-12-02 01:23:13 status half-installed exim4:all 4.80-7
2013-12-02 01:23:13 status unpacked exim4:all 4.80-7
2013-12-02 01:23:13 status unpacked exim4:all 4.80-7
2013-12-02 01:23:13 install heirloom-mailx:armhf <none> 12.5-2
2013-12-02 01:23:13 status half-installed heirloom-mailx:armhf 12.5-2
2013-12-02 01:23:13 status unpacked heirloom-mailx:armhf 12.5-2
2013-12-02 01:23:13 status unpacked heirloom-mailx:armhf 12.5-2
2013-12-02 01:23:14 install tdb-tools:armhf <none> 1.2.10-2
2013-12-02 01:23:14 status half-installed tdb-tools:armhf 1.2.10-2
2013-12-02 01:23:15 status unpacked tdb-tools:armhf 1.2.10-2
2013-12-02 01:23:15 status unpacked tdb-tools:armhf 1.2.10-2
2013-12-02 01:23:16 startup packages configure
2013-12-02 01:23:16 configure cron:armhf 3.0pl1-124 <none>
2013-12-02 01:23:16 status unpacked cron:armhf 3.0pl1-124
2013-12-02 01:23:16 status unpacked cron:armhf 3.0pl1-124
2013-12-02 01:23:16 status unpacked cron:armhf 3.0pl1-124
2013-12-02 01:23:17 status unpacked cron:armhf 3.0pl1-124
2013-12-02 01:23:17 status unpacked cron:armhf 3.0pl1-124
2013-12-02 01:23:17 status unpacked cron:armhf 3.0pl1-124
2013-12-02 01:23:17 status unpacked cron:armhf 3.0pl1-124
2013-12-02 01:23:17 status unpacked cron:armhf 3.0pl1-124
2013-12-02 01:23:17 status unpacked cron:armhf 3.0pl1-124
2013-12-02 01:23:17 status unpacked cron:armhf 3.0pl1-124
2013-12-02 01:23:17 status half-configured cron:armhf 3.0pl1-124
2013-12-02 01:23:18 status installed cron:armhf 3.0pl1-124
2013-12-02 01:23:18 configure libcups2:armhf 1.5.3-5+deb7u1 <none>
2013-12-02 01:23:18 status unpacked libcups2:armhf 1.5.3-5+deb7u1
2013-12-02 01:23:18 status half-configured libcups2:armhf 1.5.3-5+deb7u1
2013-12-02 01:23:18 status installed libcups2:armhf 1.5.3-5+deb7u1
2013-12-02 01:23:18 configure libwbclient0:armhf 2:3.6.6-6+deb7u1 <none>
2013-12-02 01:23:18 status unpacked libwbclient0:armhf 2:3.6.6-6+deb7u1
2013-12-02 01:23:18 status half-configured libwbclient0:armhf 2:3.6.6-6+deb7u1
2013-12-02 01:23:19 status installed libwbclient0:armhf 2:3.6.6-6+deb7u1
2013-12-02 01:23:19 configure samba-common:all 2:3.6.6-6+deb7u1 <none>
2013-12-02 01:23:19 status unpacked samba-common:all 2:3.6.6-6+deb7u1
2013-12-02 01:23:19 status unpacked samba-common:all 2:3.6.6-6+deb7u1
2013-12-02 01:23:19 status unpacked samba-common:all 2:3.6.6-6+deb7u1
2013-12-02 01:23:19 status unpacked samba-common:all 2:3.6.6-6+deb7u1
2013-12-02 01:23:19 status half-configured samba-common:all 2:3.6.6-6+deb7u1
2013-12-02 01:23:23 status installed samba-common:all 2:3.6.6-6+deb7u1
2013-12-02 01:23:23 configure winbind:armhf 2:3.6.6-6+deb7u1 <none>
2013-12-02 01:23:23 status unpacked winbind:armhf 2:3.6.6-6+deb7u1
2013-12-02 01:23:23 status unpacked winbind:armhf 2:3.6.6-6+deb7u1
2013-12-02 01:23:23 status unpacked winbind:armhf 2:3.6.6-6+deb7u1
2013-12-02 01:23:23 status unpacked winbind:armhf 2:3.6.6-6+deb7u1
2013-12-02 01:23:23 status half-configured winbind:armhf 2:3.6.6-6+deb7u1
2013-12-02 01:23:24 status installed winbind:armhf 2:3.6.6-6+deb7u1
2013-12-02 01:23:24 configure libnss-winbind:armhf 2:3.6.6-6+deb7u1 <none>
2013-12-02 01:23:24 status unpacked libnss-winbind:armhf 2:3.6.6-6+deb7u1
2013-12-02 01:23:24 status half-configured libnss-winbind:armhf 2:3.6.6-6+deb7u1
2013-12-02 01:23:24 status installed libnss-winbind:armhf 2:3.6.6-6+deb7u1
2013-12-02 01:23:24 configure libpam-winbind:armhf 2:3.6.6-6+deb7u1 <none>
2013-12-02 01:23:24 status unpacked libpam-winbind:armhf 2:3.6.6-6+deb7u1
2013-12-02 01:23:24 status half-configured libpam-winbind:armhf 2:3.6.6-6+deb7u1
2013-12-02 01:23:28 status installed libpam-winbind:armhf 2:3.6.6-6+deb7u1
2013-12-02 01:23:28 configure libfile-copy-recursive-perl:all 0.38-1 <none>
2013-12-02 01:23:28 status unpacked libfile-copy-recursive-perl:all 0.38-1
2013-12-02 01:23:28 status half-configured libfile-copy-recursive-perl:all 0.38-1
2013-12-02 01:23:28 status installed libfile-copy-recursive-perl:all 0.38-1
2013-12-02 01:23:28 configure update-inetd:all 4.43 <none>
2013-12-02 01:23:28 status unpacked update-inetd:all 4.43
2013-12-02 01:23:28 status half-configured update-inetd:all 4.43
2013-12-02 01:23:31 status installed update-inetd:all 4.43
2013-12-02 01:23:31 configure samba:armhf 2:3.6.6-6+deb7u1 <none>
2013-12-02 01:23:31 status unpacked samba:armhf 2:3.6.6-6+deb7u1
2013-12-02 01:23:31 status unpacked samba:armhf 2:3.6.6-6+deb7u1
2013-12-02 01:23:31 status unpacked samba:armhf 2:3.6.6-6+deb7u1
2013-12-02 01:23:31 status unpacked samba:armhf 2:3.6.6-6+deb7u1
2013-12-02 01:23:31 status half-configured samba:armhf 2:3.6.6-6+deb7u1
2013-12-02 01:23:39 status installed samba:armhf 2:3.6.6-6+deb7u1
2013-12-02 01:23:39 configure logrotate:armhf 3.8.1-4 <none>
2013-12-02 01:23:39 status unpacked logrotate:armhf 3.8.1-4
2013-12-02 01:23:39 status unpacked logrotate:armhf 3.8.1-4
2013-12-02 01:23:39 status unpacked logrotate:armhf 3.8.1-4
2013-12-02 01:23:40 status half-configured logrotate:armhf 3.8.1-4
2013-12-02 01:23:40 status installed logrotate:armhf 3.8.1-4
2013-12-02 01:23:40 configure exim4-config:all 4.80-7 <none>
2013-12-02 01:23:40 status unpacked exim4-config:all 4.80-7
2013-12-02 01:23:40 status unpacked exim4-config:all 4.80-7
2013-12-02 01:23:41 status unpacked exim4-config:all 4.80-7
2013-12-02 01:23:41 status unpacked exim4-config:all 4.80-7
2013-12-02 01:23:41 status unpacked exim4-config:all 4.80-7
2013-12-02 01:23:41 status unpacked exim4-config:all 4.80-7
2013-12-02 01:23:41 status unpacked exim4-config:all 4.80-7
2013-12-02 01:23:41 status unpacked exim4-config:all 4.80-7
2013-12-02 01:23:41 status unpacked exim4-config:all 4.80-7
2013-12-02 01:23:41 status unpacked exim4-config:all 4.80-7
2013-12-02 01:23:41 status unpacked exim4-config:all 4.80-7
2013-12-02 01:23:41 status unpacked exim4-config:all 4.80-7
2013-12-02 01:23:41 status unpacked exim4-config:all 4.80-7
2013-12-02 01:23:41 status unpacked exim4-config:all 4.80-7
2013-12-02 01:23:41 status unpacked exim4-config:all 4.80-7
2013-12-02 01:23:41 status unpacked exim4-config:all 4.80-7
2013-12-02 01:23:41 status unpacked exim4-config:all 4.80-7
2013-12-02 01:23:41 status unpacked exim4-config:all 4.80-7
2013-12-02 01:23:41 status unpacked exim4-config:all 4.80-7
2013-12-02 01:23:41 status unpacked exim4-config:all 4.80-7
2013-12-02 01:23:41 status unpacked exim4-config:all 4.80-7
2013-12-02 01:23:41 status unpacked exim4-config:all 4.80-7
2013-12-02 01:23:41 status unpacked exim4-config:all 4.80-7
2013-12-02 01:23:41 status unpacked exim4-config:all 4.80-7
2013-12-02 01:23:41 status unpacked exim4-config:all 4.80-7
2013-12-02 01:23:41 status unpacked exim4-config:all 4.80-7
2013-12-02 01:23:41 status unpacked exim4-config:all 4.80-7
2013-12-02 01:23:41 status unpacked exim4-config:all 4.80-7
2013-12-02 01:23:41 status unpacked exim4-config:all 4.80-7
2013-12-02 01:23:41 status unpacked exim4-config:all 4.80-7
2013-12-02 01:23:41 status unpacked exim4-config:all 4.80-7
2013-12-02 01:23:41 status unpacked exim4-config:all 4.80-7
2013-12-02 01:23:41 status unpacked exim4-config:all 4.80-7
2013-12-02 01:23:41 status unpacked exim4-config:all 4.80-7
2013-12-02 01:23:41 status unpacked exim4-config:all 4.80-7
2013-12-02 01:23:41 status unpacked exim4-config:all 4.80-7
2013-12-02 01:23:41 status unpacked exim4-config:all 4.80-7
2013-12-02 01:23:41 status unpacked exim4-config:all 4.80-7
2013-12-02 01:23:41 status unpacked exim4-config:all 4.80-7
2013-12-02 01:23:41 status unpacked exim4-config:all 4.80-7
2013-12-02 01:23:41 status unpacked exim4-config:all 4.80-7
2013-12-02 01:23:41 status unpacked exim4-config:all 4.80-7
2013-12-02 01:23:41 status unpacked exim4-config:all 4.80-7
2013-12-02 01:23:41 status unpacked exim4-config:all 4.80-7
2013-12-02 01:23:41 status unpacked exim4-config:all 4.80-7
2013-12-02 01:23:41 status half-configured exim4-config:all 4.80-7
2013-12-02 01:23:47 status installed exim4-config:all 4.80-7
2013-12-02 01:23:47 configure exim4-base:armhf 4.80-7 <none>
2013-12-02 01:23:47 status unpacked exim4-base:armhf 4.80-7
2013-12-02 01:23:48 status unpacked exim4-base:armhf 4.80-7
2013-12-02 01:23:48 status unpacked exim4-base:armhf 4.80-7
2013-12-02 01:23:48 status unpacked exim4-base:armhf 4.80-7
2013-12-02 01:23:48 status unpacked exim4-base:armhf 4.80-7
2013-12-02 01:23:48 status half-configured exim4-base:armhf 4.80-7
2013-12-02 01:23:50 status installed exim4-base:armhf 4.80-7
2013-12-02 01:23:50 configure exim4-daemon-light:armhf 4.80-7 <none>
2013-12-02 01:23:50 status unpacked exim4-daemon-light:armhf 4.80-7
2013-12-02 01:23:50 status half-configured exim4-daemon-light:armhf 4.80-7
2013-12-02 01:23:54 status installed exim4-daemon-light:armhf 4.80-7
2013-12-02 01:23:54 configure exim4:all 4.80-7 <none>
2013-12-02 01:23:54 status unpacked exim4:all 4.80-7
2013-12-02 01:23:54 status half-configured exim4:all 4.80-7
2013-12-02 01:23:57 status installed exim4:all 4.80-7
2013-12-02 01:23:57 configure heirloom-mailx:armhf 12.5-2 <none>
2013-12-02 01:23:57 status unpacked heirloom-mailx:armhf 12.5-2
2013-12-02 01:23:57 status unpacked heirloom-mailx:armhf 12.5-2
2013-12-02 01:23:57 status half-configured heirloom-mailx:armhf 12.5-2
2013-12-02 01:23:57 status installed heirloom-mailx:armhf 12.5-2
2013-12-02 01:23:57 configure tdb-tools:armhf 1.2.10-2 <none>
2013-12-02 01:23:57 status unpacked tdb-tools:armhf 1.2.10-2
2013-12-02 01:23:57 status half-configured tdb-tools:armhf 1.2.10-2
2013-12-02 01:23:57 status installed tdb-tools:armhf 1.2.10-2
2013-12-02 01:31:15 startup packages remove
2013-12-02 01:31:15 status installed cifs-utils:armhf 2:5.5-1
2013-12-02 01:31:16 remove cifs-utils:armhf 2:5.5-1 <none>
2013-12-02 01:31:16 status half-configured cifs-utils:armhf 2:5.5-1
2013-12-02 01:31:16 status half-installed cifs-utils:armhf 2:5.5-1
2013-12-02 01:31:16 status config-files cifs-utils:armhf 2:5.5-1
2013-12-02 01:31:16 status config-files cifs-utils:armhf 2:5.5-1
2013-12-02 01:41:37 startup packages remove
2013-12-02 01:41:37 status installed autofs:armhf 5.0.7-3
2013-12-02 01:41:37 remove autofs:armhf 5.0.7-3 <none>
2013-12-02 01:41:37 status half-configured autofs:armhf 5.0.7-3
2013-12-02 01:41:37 status half-installed autofs:armhf 5.0.7-3
2013-12-02 01:41:37 status config-files autofs:armhf 5.0.7-3
2013-12-02 01:41:37 status config-files autofs:armhf 5.0.7-3
2013-12-02 01:42:08 startup packages remove
2013-12-02 01:42:08 status installed keyutils:armhf 1.5.5-3
2013-12-02 01:42:09 remove keyutils:armhf 1.5.5-3 <none>
2013-12-02 01:42:09 status half-configured keyutils:armhf 1.5.5-3
2013-12-02 01:42:09 status half-installed keyutils:armhf 1.5.5-3
2013-12-02 01:42:09 status config-files keyutils:armhf 1.5.5-3
2013-12-02 01:42:09 status config-files keyutils:armhf 1.5.5-3
2013-12-02 01:42:09 status installed libnss-winbind:armhf 2:3.6.6-6+deb7u1
2013-12-02 01:42:09 remove libnss-winbind:armhf 2:3.6.6-6+deb7u1 <none>
2013-12-02 01:42:09 status half-configured libnss-winbind:armhf 2:3.6.6-6+deb7u1
2013-12-02 01:42:09 status half-installed libnss-winbind:armhf 2:3.6.6-6+deb7u1
2013-12-02 01:42:09 status config-files libnss-winbind:armhf 2:3.6.6-6+deb7u1
2013-12-02 01:42:09 status config-files libnss-winbind:armhf 2:3.6.6-6+deb7u1
2013-12-02 01:42:09 status config-files libnss-winbind:armhf 2:3.6.6-6+deb7u1
2013-12-02 01:42:09 status not-installed libnss-winbind:armhf <none>
2013-12-02 01:42:09 status installed libpam-winbind:armhf 2:3.6.6-6+deb7u1
2013-12-02 01:42:09 remove libpam-winbind:armhf 2:3.6.6-6+deb7u1 <none>
2013-12-02 01:42:09 status half-configured libpam-winbind:armhf 2:3.6.6-6+deb7u1
2013-12-02 01:42:12 status half-installed libpam-winbind:armhf 2:3.6.6-6+deb7u1
2013-12-02 01:42:13 status config-files libpam-winbind:armhf 2:3.6.6-6+deb7u1
2013-12-02 01:42:13 status config-files libpam-winbind:armhf 2:3.6.6-6+deb7u1
2013-12-02 01:42:13 status config-files libpam-winbind:armhf 2:3.6.6-6+deb7u1
2013-12-02 01:42:13 status not-installed libpam-winbind:armhf <none>
2013-12-02 01:42:14 status installed winbind:armhf 2:3.6.6-6+deb7u1
2013-12-02 01:42:14 remove winbind:armhf 2:3.6.6-6+deb7u1 <none>
2013-12-02 01:42:14 status half-configured winbind:armhf 2:3.6.6-6+deb7u1
2013-12-02 01:42:14 status half-installed winbind:armhf 2:3.6.6-6+deb7u1
2013-12-02 01:42:14 status config-files winbind:armhf 2:3.6.6-6+deb7u1
2013-12-02 01:42:14 status config-files winbind:armhf 2:3.6.6-6+deb7u1
2013-12-02 01:47:19 startup archives unpack
2013-12-02 01:47:19 install pmount:armhf <none> 0.9.23-2
2013-12-02 01:47:19 status half-installed pmount:armhf 0.9.23-2
2013-12-02 01:47:21 status unpacked pmount:armhf 0.9.23-2
2013-12-02 01:47:21 status unpacked pmount:armhf 0.9.23-2
2013-12-02 01:47:22 startup packages configure
2013-12-02 01:47:22 configure pmount:armhf 0.9.23-2 <none>
2013-12-02 01:47:22 status unpacked pmount:armhf 0.9.23-2
2013-12-02 01:47:22 status unpacked pmount:armhf 0.9.23-2
2013-12-02 01:47:22 status unpacked pmount:armhf 0.9.23-2
2013-12-02 01:47:22 status half-configured pmount:armhf 0.9.23-2
2013-12-02 01:47:23 status installed pmount:armhf 0.9.23-2
2013-12-02 01:58:01 startup archives unpack
2013-12-02 01:58:02 install libpci3:armhf <none> 1:3.1.9-6
2013-12-02 01:58:02 status half-installed libpci3:armhf 1:3.1.9-6
2013-12-02 01:58:02 status unpacked libpci3:armhf 1:3.1.9-6
2013-12-02 01:58:02 status unpacked libpci3:armhf 1:3.1.9-6
2013-12-02 01:58:02 install libck-connector0:armhf <none> 0.4.5-3.1
2013-12-02 01:58:02 status half-installed libck-connector0:armhf 0.4.5-3.1
2013-12-02 01:58:02 status unpacked libck-connector0:armhf 0.4.5-3.1
2013-12-02 01:58:03 status unpacked libck-connector0:armhf 0.4.5-3.1
2013-12-02 01:58:03 install libdbus-glib-1-2:armhf <none> 0.100.2-1
2013-12-02 01:58:03 status half-installed libdbus-glib-1-2:armhf 0.100.2-1
2013-12-02 01:58:03 status unpacked libdbus-glib-1-2:armhf 0.100.2-1
2013-12-02 01:58:03 status unpacked libdbus-glib-1-2:armhf 0.100.2-1
2013-12-02 01:58:03 install libpolkit-gobject-1-0:armhf <none> 0.105-3
2013-12-02 01:58:03 status half-installed libpolkit-gobject-1-0:armhf 0.105-3
2013-12-02 01:58:03 status unpacked libpolkit-gobject-1-0:armhf 0.105-3
2013-12-02 01:58:04 status unpacked libpolkit-gobject-1-0:armhf 0.105-3
2013-12-02 01:58:04 install module-init-tools:all <none> 9-3
2013-12-02 01:58:04 status half-installed module-init-tools:all 9-3
2013-12-02 01:58:04 status unpacked module-init-tools:all 9-3
2013-12-02 01:58:04 status unpacked module-init-tools:all 9-3
2013-12-02 01:58:04 install pciutils:armhf <none> 1:3.1.9-6
2013-12-02 01:58:04 status half-installed pciutils:armhf 1:3.1.9-6
2013-12-02 01:58:05 status unpacked pciutils:armhf 1:3.1.9-6
2013-12-02 01:58:05 status unpacked pciutils:armhf 1:3.1.9-6
2013-12-02 01:58:05 install consolekit:armhf <none> 0.4.5-3.1
2013-12-02 01:58:05 status half-installed consolekit:armhf 0.4.5-3.1
2013-12-02 01:58:07 status unpacked consolekit:armhf 0.4.5-3.1
2013-12-02 01:58:07 status unpacked consolekit:armhf 0.4.5-3.1
2013-12-02 01:58:08 install eject:armhf <none> 2.1.5+deb1+cvs20081104-13
2013-12-02 01:58:08 status half-installed eject:armhf 2.1.5+deb1+cvs20081104-13
2013-12-02 01:58:08 status unpacked eject:armhf 2.1.5+deb1+cvs20081104-13
2013-12-02 01:58:08 status unpacked eject:armhf 2.1.5+deb1+cvs20081104-13
2013-12-02 01:58:08 install libhal1:armhf <none> 0.5.14-8
2013-12-02 01:58:08 status half-installed libhal1:armhf 0.5.14-8
2013-12-02 01:58:08 status unpacked libhal1:armhf 0.5.14-8
2013-12-02 01:58:08 status unpacked libhal1:armhf 0.5.14-8
2013-12-02 01:58:09 install libhal-storage1:armhf <none> 0.5.14-8
2013-12-02 01:58:09 status half-installed libhal-storage1:armhf 0.5.14-8
2013-12-02 01:58:09 status unpacked libhal-storage1:armhf 0.5.14-8
2013-12-02 01:58:09 status unpacked libhal-storage1:armhf 0.5.14-8
2013-12-02 01:58:09 install hal-info:all <none> 20091130-1
2013-12-02 01:58:09 status half-installed hal-info:all 20091130-1
2013-12-02 01:58:10 status unpacked hal-info:all 20091130-1
2013-12-02 01:58:10 status unpacked hal-info:all 20091130-1
2013-12-02 01:58:11 install hal:armhf <none> 0.5.14-8
2013-12-02 01:58:11 status half-installed hal:armhf 0.5.14-8
2013-12-02 01:58:12 status unpacked hal:armhf 0.5.14-8
2013-12-02 01:58:12 status unpacked hal:armhf 0.5.14-8
2013-12-02 01:58:12 install hdparm:armhf <none> 9.39-1+b1
2013-12-02 01:58:12 status half-installed hdparm:armhf 9.39-1+b1
2013-12-02 01:58:14 status unpacked hdparm:armhf 9.39-1+b1
2013-12-02 01:58:14 status unpacked hdparm:armhf 9.39-1+b1
2013-12-02 01:58:14 install libpam-ck-connector:armhf <none> 0.4.5-3.1
2013-12-02 01:58:14 status half-installed libpam-ck-connector:armhf 0.4.5-3.1
2013-12-02 01:58:14 status unpacked libpam-ck-connector:armhf 0.4.5-3.1
2013-12-02 01:58:14 status unpacked libpam-ck-connector:armhf 0.4.5-3.1
2013-12-02 01:58:15 install powermgmt-base:armhf <none> 1.31
2013-12-02 01:58:15 status half-installed powermgmt-base:armhf 1.31
2013-12-02 01:58:15 status unpacked powermgmt-base:armhf 1.31
2013-12-02 01:58:15 status unpacked powermgmt-base:armhf 1.31
2013-12-02 01:58:15 install pm-utils:all <none> 1.4.1-9
2013-12-02 01:58:15 status half-installed pm-utils:all 1.4.1-9
2013-12-02 01:58:16 status unpacked pm-utils:all 1.4.1-9
2013-12-02 01:58:16 status unpacked pm-utils:all 1.4.1-9
2013-12-02 01:58:20 startup packages configure
2013-12-02 01:58:20 configure libpci3:armhf 1:3.1.9-6 <none>
2013-12-02 01:58:20 status unpacked libpci3:armhf 1:3.1.9-6
2013-12-02 01:58:20 status half-configured libpci3:armhf 1:3.1.9-6
2013-12-02 01:58:20 status installed libpci3:armhf 1:3.1.9-6
2013-12-02 01:58:20 configure libck-connector0:armhf 0.4.5-3.1 <none>
