"WORKGROUP"               c0001000 "VODAFONETV-C03F"             "WORKGROUP"
"VOLUMIO"                 40809a03 "Volumio Audio Player"        "WORKGROUP"
"VODAFONETV-C03F"         40849a03 "Vodafone TV Server"          "WORKGROUP"
